sku,product_type,name,out_of_stock_qty,use_config_min_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,associated_skus
1010635,simple,VERGALHAO CA-50 1/4 (6.3mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1010800,simple,VERGALHAO CA-50 5/16 (8.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1011000,simple,VERGALHAO CA-50 3/8 (10.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1011250,simple,VERGALHAO CA-50 1/2 (12.5mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1011600,simple,VERGALHAO CA-50 5/8 (16.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1012000,simple,VERGALHAO CA-50 3/4 (20.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1012500,simple,VERGALHAO CA-50 1 (25.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
101,grouped,Vergalhão CA-50 - Resistência e Qualidade para Construção,0.0000,1,10.000.000,0,1,0.0000,0,201,1,,,,,"1010635=0.000000,1010800=0.000000,1011000=0.000000,1011250=0.000000,1011600=0.000000,1012000=0.000000,1012500=0.000000"
1023400,simple,VERGALHAO CA-60 (3.4mm) ROLO,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1024200,simple,VERGALHAO CA-60 (4.2mm) ROLO,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1024201,simple,VERGALHAO CA-60 (4.2mm) BARRA,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1025000,simple,VERGALHAO CA-60 (5.0mm) ROLO,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
1025001,simple,VERGALHAO CA-60 (5.0mm) BARRA,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
