codigo;descricao;linha;grupo;subgrupo;unidade;preco;preco_str
33040412;ARAME P/ SOLDA MIG 70S6 - 1,2mm 18KG;Acessórios de Serralheria;eletrodos e soldas;outras soldas;un;305.18;305,18
33040410;ARAME P/ SOLDA MIG 70S6 - 1,0mm 18KG;Acessórios de Serralheria;eletrodos e soldas;outras soldas;un;319.62;319,62
33040312;ARAME P/ SOLDA MIG 70S6 - 1,2mm 15KG;Acessórios de Serralheria;eletrodos e soldas;outras soldas;un;195.59;195,59
33040309;ARAME P/ SOLDA MIG 70S6 - 0,8mm 15KG;Acessórios de Serralheria;eletrodos e soldas;outras soldas;un;284.0;284,00
33030225;ELETRODO OK 61.30 308 - 2,50mm P/ INOX;Acessórios de Serralheria;eletrodos e soldas;eletrodos 6130;kg;109.8;109,80
33030220;ELETRODO OK 61.30 308 - 2,00mm P/ INOX;Acessórios de Serralheria;eletrodos e soldas;eletrodos 6130;kg;149.3;149,30
33020014;ELETRODO ESAB 7018 4,00MM;Acessórios de Serralheria;eletrodos e soldas;eletrodos 7018;kg;25.65;25,65
33020013;ELETRODO ESAB 7018 3,25MM;Acessórios de Serralheria;eletrodos e soldas;eletrodos 7018;kg;27.64;27,64
33020004;ELETRODO CONARCO 7018 4,00mm;Acessórios de Serralheria;eletrodos e soldas;eletrodos 7018;kg;27.8;27,80
33020003;ELETRODO CONARCO 7018 3,25mm;Acessórios de Serralheria;eletrodos e soldas;eletrodos 7018;kg;24.83;24,83
33020002;ELETRODO CONARCO 7018 2,50mm;Acessórios de Serralheria;eletrodos e soldas;eletrodos 7018;kg;24.25;24,25
33013250;ELETRODO OK-SERRALHEIRO 6013 - 3,25mm;Acessórios de Serralheria;eletrodos e soldas;eletrodos 6013;kg;26.14;26,14
33012506;ELETRODO WELD 6013 - 3,25mm;Acessórios de Serralheria;eletrodos e soldas;eletrodos 6013;kg;19.79;19,79
33012505;ELETRODO WELD 6013 - 2,50mm;Acessórios de Serralheria;eletrodos e soldas;eletrodos 6013;kg;19.52;19,52
33012500;ELETRODO OK-SERRALHEIRO 6013 - 2,50mm;Acessórios de Serralheria;eletrodos e soldas;eletrodos 6013;kg;26.78;26,78
32082000;ELETRODUTO CORRUG PVC 20mm - TIGRE;Ferramentas e Utensílios;MATERIAL ELÉTRICO;ELETRODUTOS CORRUGADOS;MT;1.15;1,15
31062670;CHAPA ROLO ALUMINIO N 26 (0,50MM) 70CM I;Chapas, Tubos e Perfilados;CHAPAS ALUMINIO;chapas em rolo aluminio;kg;55.63;55,63
31062660;CHAPA ROLO ALUMINIO N 26 (0,50MM) 60CM I;Chapas, Tubos e Perfilados;CHAPAS ALUMINIO;chapas em rolo aluminio;kg;55.63;55,63
31062650;CHAPA ROLO ALUMINIO N 26 (0,50MM) 50CM I;Chapas, Tubos e Perfilados;CHAPAS ALUMINIO;chapas em rolo aluminio;kg;55.63;55,63
31062640;CHAPA ROLO ALUMINIO N 26 (0,50MM) 40CM I;Chapas, Tubos e Perfilados;CHAPAS ALUMINIO;chapas em rolo aluminio;kg;55.63;55,63
31062630;CHAPA ROLO ALUMINIO N 26 (0,50MM) 30CM I;Chapas, Tubos e Perfilados;CHAPAS ALUMINIO;chapas em rolo aluminio;kg;55.63;55,63
30021000;PERFIL DE PROTECAO - LANCA DUPLA 1m;Acessórios de Serralheria;componentes de serralheria;PONTAS PARA GRADE;un;18.39;18,39
30010001;FITA PARA PORTA (0,50 x 25,00mm);Acessórios de Serralheria;componentes de serralheria;BOBINAS DE PORTA;kg;41.19;41,19
29051001;KIT LAMINAS MAQUINA P/ VERG NR1;Ferramentas e Utensílios;MÁQUINAS E EQUIPAMENTOS;MÁQUINAS DE CORTAR VERGALHÃO;un;79.58;79,58
29051000;KIT LAMINAS MAQUINA P/ VERG NR0;Ferramentas e Utensílios;MÁQUINAS E EQUIPAMENTOS;MÁQUINAS DE CORTAR VERGALHÃO;un;49.12;49,12
29010028;INVERSOR DE SOLDA BANTAM 3.2 BIVOLT - ESAB;Ferramentas e Utensílios;MÁQUINAS E EQUIPAMENTOS;MÁQUINAS DE SOLDA;un;813.24;813,24
29010027;INVERSOR DE SOLDA BANTAM 2.5 BIVOLT - ESAB;Ferramentas e Utensílios;MÁQUINAS E EQUIPAMENTOS;MÁQUINAS DE SOLDA;un;616.06;616,06
29010004;MAQUINA DE SOLDA BANTAM SERRALHEIRO;Ferramentas e Utensílios;MÁQUINAS E EQUIPAMENTOS;MÁQUINAS DE SOLDA;un;958.14;958,14
28033007;CARRO DE MAO PLASTICA FUNDA - TRAMONTINA;Ferramentas e Utensílios;UTENSÍLIOS;CARROS DE MÃO;un;334.23;334,23
28030005;CARRO DE MAO EXTRA FORTE - TRAMONTINA;Ferramentas e Utensílios;UTENSÍLIOS;CARROS DE MÃO;un;459.5;459,50
28011001;PICADEIRA DE SOLDA S/ MOLA;Ferramentas e Utensílios;UTENSÍLIOS;ACESSÓRIOS DE SOLDAGEM;un;37.21;37,21
28011000;GARRA NEGATIVA 505;Ferramentas e Utensílios;UTENSÍLIOS;ACESSÓRIOS DE SOLDAGEM;un;75.94;75,94
28010500;PORTA ELETRODO 500a - MAXI;Ferramentas e Utensílios;UTENSÍLIOS;ACESSÓRIOS DE SOLDAGEM;un;68.04;68,04
28010300;PORTA ELETRODO 300a - MAXI;Ferramentas e Utensílios;UTENSÍLIOS;ACESSÓRIOS DE SOLDAGEM;un;63.85;63,85
28010200;PORTA ELETRODO 200S;Ferramentas e Utensílios;UTENSÍLIOS;ACESSÓRIOS DE SOLDAGEM;un;50.31;50,31
27271900;CHAVE COMBINADA 19mm;Ferramentas e Utensílios;FERRAMENTAS;CHAVES COMBINADAS;un;15.43;15,43
27271300;CHAVE COMBINADA 13mm;Ferramentas e Utensílios;FERRAMENTAS;CHAVES COMBINADAS;un;10.37;10,37
27271200;CHAVE COMBINADA 12mm;Ferramentas e Utensílios;FERRAMENTAS;CHAVES COMBINADAS;un;9.47;9,47
27210003;APLICADOR P/ SILICONE - TRAMONTINA;Ferramentas e Utensílios;FERRAMENTAS;APLICADORES DE SILICONE;un;68.58;68,58
27170104;CAVADEIRA RETA 8 C/ CABO 120cm;Ferramentas e Utensílios;FERRAMENTAS;PÁS;un;59.43;59,43
27170103;CAVADEIRA RETA 8 S/ CABO;Ferramentas e Utensílios;FERRAMENTAS;PÁS;un;30.11;30,11
27170102;CAVADEIRA ARTICULADA C/ CABO 1,20m;Ferramentas e Utensílios;FERRAMENTAS;PÁS;un;78.8;78,80
27170002;PA DE BICO COM CABO 120cm;Ferramentas e Utensílios;FERRAMENTAS;PÁS;un;57.59;57,59
27150007;COLHER DE PEDREIRO 7;Ferramentas e Utensílios;FERRAMENTAS;COLHER DE PEDREIRO;un;20.66;20,66
27130107;PRUMO 750g - TRAMONTINA;Ferramentas e Utensílios;FERRAMENTAS;NÍVEIS E PRUMOS;un;70.35;70,35
27120315;MARRETA OITAVADA 1500g - TRAMONTINA;Ferramentas e Utensílios;FERRAMENTAS;MARTELOS E MARRETAS;un;55.09;55,09
27120305;MARRETA OITAVADA 500g;Ferramentas e Utensílios;FERRAMENTAS;MARTELOS E MARRETAS;un;33.53;33,53
27120210;MARTELO BOLA 1000g - TRAMONTINA;Ferramentas e Utensílios;FERRAMENTAS;MARTELOS E MARRETAS;un;69.76;69,76
27100305;ROLO DE LA 5cm;Ferramentas e Utensílios;FERRAMENTAS;FERRAMENTAS DE PINTURA;un;11.19;11,19
27100200;BROXA RETANGULAR 18 x 8cm;Ferramentas e Utensílios;FERRAMENTAS;FERRAMENTAS DE PINTURA;un;9.61;9,61
27100100;TRINCHA 4;Ferramentas e Utensílios;FERRAMENTAS;FERRAMENTAS DE PINTURA;un;17.78;17,78
27100076;TRINCHA 3;Ferramentas e Utensílios;FERRAMENTAS;FERRAMENTAS DE PINTURA;un;13.93;13,93
27100063;TRINCHA 2 1/2;Ferramentas e Utensílios;FERRAMENTAS;FERRAMENTAS DE PINTURA;un;13.89;13,89
27100038;TRINCHA 1.1/2;Ferramentas e Utensílios;FERRAMENTAS;FERRAMENTAS DE PINTURA;un;7.28;7,28
27100025;TRINCHA 1;Ferramentas e Utensílios;FERRAMENTAS;FERRAMENTAS DE PINTURA;un;4.59;4,59
27100019;TRINCHA 3/4;Ferramentas e Utensílios;FERRAMENTAS;FERRAMENTAS DE PINTURA;un;3.61;3,61
27051400;TORQUES P/ ARMADOR 14 - BERG;Ferramentas e Utensílios;FERRAMENTAS;TORQUÊS;un;80.7;80,70
27051200;TORQUES P/ ARMADOR 12 - BERG;Ferramentas e Utensílios;FERRAMENTAS;TORQUÊS;un;73.17;73,17
27040030;TESOURA CORTA VERG 30;Ferramentas e Utensílios;FERRAMENTAS;TESOURAS;un;482.0;482,00
27040001;TESOURA P/ FUNILEIRO 12 - STANLEY;Ferramentas e Utensílios;FERRAMENTAS;TESOURAS;un;122.56;122,56
27010800;TRENA 8m - STARRET;Ferramentas e Utensílios;FERRAMENTAS;TRENAS;un;48.48;48,48
27010503;TRENA 5m - TRAMONTINA;Ferramentas e Utensílios;FERRAMENTAS;TRENAS;un;27.79;27,79
27010501;TRENA 5m - STARRET;Ferramentas e Utensílios;FERRAMENTAS;TRENAS;un;25.55;25,55
27010300;TRENA 3m - TRAMONTINA;Ferramentas e Utensílios;FERRAMENTAS;TRENAS;un;16.43;16,43
26070635;CHAPA EXPANDIDA AC 1/4 (50x100) 2 x 1;Chapas, Tubos e Perfilados;AÇOS INDUSTRIALIZADOS;chapas expandidas;un;264.11;264,11
26070476;CHAPA EXPANDIDA AC 3/16 (50x100) 2 x 1;Chapas, Tubos e Perfilados;AÇOS INDUSTRIALIZADOS;chapas expandidas;un;161.7;161,70
